Character,Game,Relation,Role
18-Volt,WarioWare: Twisted!,CHARACTER_IN,Microgame host
18-Volt,WarioWare: Twisted!,CHARACTER_IN,Microgame host
18-Volt,WarioWare: Smooth Moves,CHARACTER_IN,Microgame host
18-Volt,Super Smash Bros. Brawl,CHARACTER_IN,Cameo as a Sticker
18-Volt,WarioWare: D.I.Y. Showcase,CHARACTER_IN,Microgame host
18-Volt,Game & Wario,CHARACTER_IN,Minigame host
18-Volt,Super Smash Bros. for Wii U,CHARACTER_IN,Stage cameo
18-Volt,Rhythm Heaven Megamix,CHARACTER_IN,Playable character
18-Volt,WarioWare Gold,CHARACTER_IN,Microgame host
18-Volt,Super Smash Bros. Ultimate,CHARACTER_IN,Stage cameo
18-Volt,WarioWare: Get It Together!,CHARACTER_IN,Playable character
18-Volt,Tetris 99,CHARACTER_IN,Appears in the WarioWare: Get It Together! and WarioWare: Move It! themes
18-Volt,WarioWare: Move It!,CHARACTER_IN,Playable character
5-Volt,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Mentioned
5-Volt,WarioWare: Twisted!,CHARACTER_IN,Non-playable character
5-Volt,WarioWare: Touched!,CHARACTER_IN,Cameo in Game Over screen
5-Volt,Game & Wario,CHARACTER_IN,Non-playable character
5-Volt,Super Smash Bros. for Wii U,CHARACTER_IN,Non-playable character
5-Volt,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Non-playable character
5-Volt,WarioWare Gold,CHARACTER_IN,Microgame host
5-Volt,Super Smash Bros. Ultimate,CHARACTER_IN,Non-playable character
5-Volt,WarioWare: Get It Together!,CHARACTER_IN,Playable character
5-Volt,Tetris 99,CHARACTER_IN,Appearance in the WarioWare: Get It Together! and WarioWare: Move It! backgrounds
5-Volt,WarioWare: Move It!,CHARACTER_IN,"Supporting character, playable character"
9-Volt,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Microgame host
9-Volt,Wario World,CHARACTER_IN,Icon cameo at Treasure Square
9-Volt,"WarioWare, Inc.: Mega Party Game$!",CHARACTER_IN,"Microgame host, playable character"
9-Volt,WarioWare: Twisted!,CHARACTER_IN,Microgame host
9-Volt,WarioWare: Touched!,CHARACTER_IN,Microgame host
9-Volt,WarioWare: Smooth Moves,CHARACTER_IN,Microgame host
9-Volt,Super Smash Bros. Brawl,CHARACTER_IN,Sticker
9-Volt,Paper Airplane Chase,CHARACTER_IN,Cameo as a background sign when reaching 120 points in Endless Mode
9-Volt,WarioWare: D.I.Y.,CHARACTER_IN,Microgame host
9-Volt,WarioWare: D.I.Y. Showcase,CHARACTER_IN,Cameo in 18-Volt 's stage
9-Volt,Game & Wario,CHARACTER_IN,Playable character
9-Volt,Super Smash Bros. for Wii U,CHARACTER_IN,Trophy
9-Volt,Rhythm Heaven Megamix,CHARACTER_IN,Wario... Where? host
9-Volt,WarioWare Gold,CHARACTER_IN,Microgame host
9-Volt,Super Smash Bros. Ultimate,CHARACTER_IN,Spirit
9-Volt,WarioWare: Get It Together!,CHARACTER_IN,"Microgame host, playable character"
9-Volt,Tetris 99,CHARACTER_IN,Cameo as an O-Tetromino
9-Volt,WarioWare: Move It!,CHARACTER_IN,"Microgame host, playable character"
Ancient Minister,Super Mario RPG: Legend of the Seven Stars,CHARACTER_IN,1996
Ancient Minister,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Non-playable character
Ancient Minister,WarioWare: Twisted!,CHARACTER_IN,Cameo
Ancient Minister,WarioWare: Touched!,CHARACTER_IN,Cameo
Ancient Minister,Mario Kart DS,CHARACTER_IN,Unlockable playable character
Ancient Minister,WarioWare: Smooth Moves,CHARACTER_IN,Boss
Ancient Minister,Super Smash Bros. Brawl,CHARACTER_IN,Unlockable playable character
Ancient Minister,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Unlockable playable character
Ancient Minister,Super Smash Bros. for Wii U,CHARACTER_IN,Unlockable playable character
Ancient Minister,Super Mario Maker,CHARACTER_IN,Costume
Ancient Minister,WarioWare Gold,CHARACTER_IN,Playable character
Ancient Minister,Super Smash Bros. Ultimate,CHARACTER_IN,Unlockable playable character
Ancient Minister,Super Mario RPG,CHARACTER_IN,Cameo
Ashley,WarioWare: Touched!,CHARACTER_IN,Microgame host
Ashley,WarioWare: Smooth Moves,CHARACTER_IN,Microgame host
Ashley,Super Smash Bros. Brawl,CHARACTER_IN,Cameo
Ashley,Paper Airplane Chase,CHARACTER_IN,Cameo as a background sign when reaching 150 points in Endless Mode
Ashley,WarioWare: D.I.Y.,CHARACTER_IN,Microgame host
Ashley,Game & Wario,CHARACTER_IN,Playable character
Ashley,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,"Assist Trophy, trophy"
Ashley,Super Smash Bros. for Wii U,CHARACTER_IN,"Cameo, Assist Trophy"
Ashley,Rhythm Heaven Megamix,CHARACTER_IN,Playable character
Ashley,Daigassou! Band Brothers P,CHARACTER_IN,Cameo
Ashley,Super Mario Maker,CHARACTER_IN,Playable character
Ashley,WarioWare Gold,CHARACTER_IN,"Microgame host, playable character"
Ashley,Super Smash Bros. Ultimate,CHARACTER_IN,"Assist Trophy, cameo"
Ashley,WarioWare: Get It Together!,CHARACTER_IN,"Microgame host, unlockable playable character"
Ashley,Tetris 99,CHARACTER_IN,Cameo as a Z-Tetromino
Ashley,WarioWare: Move It!,CHARACTER_IN,"Microgame host, playable character"
Baby Bowser,Super Mario World 2: Yoshi's Island,CHARACTER_IN,Final boss
Baby Bowser,Yoshi's Story,CHARACTER_IN,"Main antagonist, Final boss"
Baby Bowser,Mario Artist: Paint Studio,CHARACTER_IN,Stamp
Baby Bowser,Super Smash Bros. Melee,CHARACTER_IN,Cameo as a trophy
Baby Bowser,Super Mario Advance 3: Yoshi's Island,CHARACTER_IN,Final boss
Baby Bowser,Mario & Luigi: Partners in Time,CHARACTER_IN,"Major antagonist, boss"
Baby Bowser,Yoshi's Island DS,CHARACTER_IN,Boss / playable character
Baby Bowser,Yoshi's New Island,CHARACTER_IN,Co-Main Antagonist/Decoy final boss
Baby Bowser,Yoshi's Woolly World,CHARACTER_IN,Final boss
Baby Bowser,Poochy & Yoshi's Woolly World,CHARACTER_IN,Final boss
Baby Bowser,Super Smash Bros. Ultimate,CHARACTER_IN,Cameo as a spirit
Baby Bowser,Yoshi's Crafted World,CHARACTER_IN,Co-Main Antagonist/Final boss
Baby Daisy,Mario Kart Wii,CHARACTER_IN,Unlockable playable character
Baby Daisy,Mario Super Sluggers,CHARACTER_IN,Playable character (Unlockable in Challenge Mode)
Baby Daisy,Mario Kart 8,CHARACTER_IN,Playable character
Baby Daisy,Super Smash Bros. for Wii U,CHARACTER_IN,Cameo (Trophy)
Baby Daisy,Nintendo Badge Arcade,CHARACTER_IN,Badges
Baby Daisy,Mario Kart 8 Deluxe,CHARACTER_IN,Playable character
Baby Daisy,Dr. Mario World,CHARACTER_IN,Unlockable playable character
Baby Daisy,Mario Kart Tour,CHARACTER_IN,Unlockable playable character
Baby Luigi,Super Mario World 2: Yoshi's Island,CHARACTER_IN,Non-playable character
Baby Luigi,Yoshi's Island: Super Mario Advance 3,CHARACTER_IN,Non-playable character
Baby Luigi,Mario Kart: Double Dash!!,CHARACTER_IN,Playable character
Baby Luigi,Yoshi Touch & Go,CHARACTER_IN,Playable character (in multiplayer only)
Baby Luigi,Mario Superstar Baseball,CHARACTER_IN,Unlockable playable character
Baby Luigi,Mario Kart DS,CHARACTER_IN,Cameo in Baby Park
Baby Luigi,Mario & Luigi: Partners in Time,CHARACTER_IN,Playable character
Baby Luigi,Yoshi's Island DS,CHARACTER_IN,Non-playable character
Baby Luigi,Mario Kart Arcade GP 2,CHARACTER_IN,Cameo
Baby Luigi,Super Smash Bros. Brawl,CHARACTER_IN,Cameo as a sticker
Baby Luigi,Mario Kart Wii,CHARACTER_IN,Unlockable playable character
Baby Luigi,Mario Super Sluggers,CHARACTER_IN,Playable character
Baby Luigi,Yoshi's New Island,CHARACTER_IN,Non-playable character
Baby Luigi,Mario Kart 8,CHARACTER_IN,Playable character
Baby Luigi,Super Smash Bros. for Wii U,CHARACTER_IN,Cameo as a trophy
Baby Luigi,Nintendo Badge Arcade,CHARACTER_IN,Cameo as a badge
Baby Luigi,Mario & Luigi: Paper Jam,CHARACTER_IN,Cameo as an image on a Battle Card
Baby Luigi,Mario Sports Superstars,CHARACTER_IN,Playable character
Baby Luigi,Mario Kart 8 Deluxe,CHARACTER_IN,Playable character
Baby Luigi,Super Smash Bros. Ultimate,CHARACTER_IN,Cameo as a spirit
Baby Luigi,Dr. Mario World,CHARACTER_IN,Unlockable playable character (update)
Baby Luigi,Mario Kart Tour,CHARACTER_IN,Unlockable playable character (update)
Baby Luigi,WarioWare: Move It!,CHARACTER_IN,Cameo in microgame
Baby Luigi,Mario Kart World,CHARACTER_IN,Playable character
Baby Peach,Mario & Luigi: Partners in Time,CHARACTER_IN,Non-playable character
Baby Peach,Yoshi's Island DS,CHARACTER_IN,Unlockable playable character
Baby Peach,Super Smash Bros. Brawl,CHARACTER_IN,Appearance as a trophy and sticker
Baby Peach,Mario Kart Wii,CHARACTER_IN,Playable character
Baby Peach,Mario Super Sluggers,CHARACTER_IN,Unlockable playable character
Baby Peach,Mario Tennis Open,CHARACTER_IN,Unlockable playable character
Baby Peach,Mario Kart 8,CHARACTER_IN,Playable character
Baby Peach,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Appearance as a trophy
Baby Peach,Mario Kart Arcade GP DX,CHARACTER_IN,Downloadable playable character
Baby Peach,Mario & Luigi: Paper Jam,CHARACTER_IN,Cameo on a Battle Card
Baby Peach,Mario Kart 8 Deluxe,CHARACTER_IN,Playable character
Baby Peach,Super Smash Bros. Ultimate,CHARACTER_IN,Appearance as a spirit
Baby Peach,Dr. Mario World,CHARACTER_IN,Unlockable playable character
Baby Peach,Mario Kart Tour,CHARACTER_IN,Playable character
Baby Rosalina,Mario Kart 8,CHARACTER_IN,Unlockable playable character
Baby Rosalina,Nintendo Badge Arcade,CHARACTER_IN,Cameo as a Badge
Baby Rosalina,Mario Kart 8 Deluxe,CHARACTER_IN,Playable character
Baby Rosalina,Super Smash Bros. Ultimate,CHARACTER_IN,Cameo as a spirit
Baby Rosalina,Mario Kart Tour,CHARACTER_IN,Unlockable playable character
Baby Rosalina,Dr. Mario World,CHARACTER_IN,Unlockable playable character (update)
Baby Rosalina,Mario Kart World,CHARACTER_IN,Playable character
Baby Mario,Super Mario World 2: Yoshi's Island,CHARACTER_IN,Playable character
Baby Mario,Mario Golf,CHARACTER_IN,Playable character
Baby Mario,Mario Golf,CHARACTER_IN,Non-playable character
Baby Mario,Mario Tennis,CHARACTER_IN,Playable character
Baby Mario,Mario Tennis,CHARACTER_IN,Playable character
Baby Mario,Super Smash Bros. Melee,CHARACTER_IN,Cameo as a trophy
Baby Mario,Super Mario Advance 3 (remake),CHARACTER_IN,Playable character
Baby Mario,Mario Kart: Double Dash!!,CHARACTER_IN,Playable character
Baby Mario,Yoshi Touch & Go,CHARACTER_IN,Playable character
Baby Mario,Mario Superstar Baseball,CHARACTER_IN,Playable character
Baby Mario,Mario Kart DS,CHARACTER_IN,Cameo in Baby Park
Baby Mario,Mario & Luigi: Partners in Time,CHARACTER_IN,Playable character
Baby Mario,Yoshi's Island DS,CHARACTER_IN,Playable character
Baby Mario,Mario Kart Arcade GP 2,CHARACTER_IN,Cameo
Baby Mario,Super Smash Bros. Brawl,CHARACTER_IN,Cameo as a trophy
Baby Mario,Mario Kart Wii,CHARACTER_IN,Playable character
Baby Mario,Mario Super Sluggers,CHARACTER_IN,Playable character
Baby Mario,WarioWare: D.I.Y.,CHARACTER_IN,Cameo in a microgame
Baby Mario,Mario Tennis Open,CHARACTER_IN,Unlockable playable character
Baby Mario,Yoshi's New Island,CHARACTER_IN,Playable character
Baby Mario,Mario Kart 8,CHARACTER_IN,Playable character
Baby Mario,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Cameo as a trophy
Baby Mario,Nintendo Badge Arcade,CHARACTER_IN,Cameo as badge
Baby Mario,Mario Kart Arcade GP DX,CHARACTER_IN,Playable character (downloadable)
Baby Mario,Mario & Luigi: Paper Jam,CHARACTER_IN,Cameo on Battle Card
Baby Mario,Super Mario Maker ( version 1.40 ),CHARACTER_IN,Unlockable costume
Baby Mario,Mario Sports Superstars,CHARACTER_IN,Playable character
Baby Mario,Mario Kart 8 Deluxe,CHARACTER_IN,Playable character
Baby Mario,WarioWare Gold,CHARACTER_IN,Cameo in a microgame
Baby Mario,Super Smash Bros. Ultimate,CHARACTER_IN,Cameo as a spirit
Baby Mario,Dr. Mario World,CHARACTER_IN,Unlockable playable character (update)
Baby Mario,Mario Kart Tour,CHARACTER_IN,Playable character
Baby Mario,WarioWare: Move It!,CHARACTER_IN,Cameo in a microgame
Banjo,Diddy Kong Racing,CHARACTER_IN,Playable character
Banjo,Mario Artist: Paint Studio,CHARACTER_IN,Character stamps
Banjo,Super Smash Bros. Ultimate,CHARACTER_IN,Playable character via DLC
Bell Kritters,Donkey Kong Country,CHARACTER_IN,Enemy
Bell Kritters,Donkey Kong Land,CHARACTER_IN,Enemy
Bell Kritters,Donkey Kong Country 2: Diddy's Kong Quest,CHARACTER_IN,Enemy as Klomp [2]
Bell Kritters,Donkey Kong Land 2,CHARACTER_IN,Enemy as Klomp
Bell Kritters,Donkey Kong Country 3: Dixie Kong's Double Trouble!,CHARACTER_IN,Enemy as Kobble
Bell Kritters,Donkey Kong Land III,CHARACTER_IN,Enemy as Kobble
Bell Kritters,Donkey Kong 64,CHARACTER_IN,Enemy
Bell Kritters,Donkey Kong Country (remake),CHARACTER_IN,Enemy
Bell Kritters,Donkey Kong Coconut Crackers,CHARACTER_IN,Enemy
Bell Kritters,Donkey Kong Country (remake),CHARACTER_IN,Enemy
Bell Kritters,Donkey Kong Country 2 (remake),CHARACTER_IN,Enemy as Klomp
Bell Kritters,Mario Power Tennis,CHARACTER_IN,Non-playable character
Bell Kritters,DK: King of Swing,CHARACTER_IN,Enemy/unlockable playable character
Bell Kritters,Super Mario Strikers,CHARACTER_IN,Goalie
Bell Kritters,Donkey Kong Country 3 (remake),CHARACTER_IN,Enemy as Kobble
Bell Kritters,Mario Strikers Charged,CHARACTER_IN,Goalie
Bell Kritters,Donkey Kong Barrel Blast,CHARACTER_IN,Playable character
Bell Kritters,DK: Jungle Climber,CHARACTER_IN,Enemy
Bell Kritters,Super Smash Bros. Brawl,CHARACTER_IN,Cameo as trophy
Bell Kritters,Mario Super Sluggers,CHARACTER_IN,Unlockable playable character
Bell Kritters,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Enemy in Smash Run
Bell Kritters,Super Smash Bros. Ultimate,CHARACTER_IN,Cameo as spirit
Birdo,Yume Kōjō: Doki Doki Panic,CHARACTER_IN,Boss
Birdo,Super Mario Bros. 2,CHARACTER_IN,Boss
Birdo,Mario's Egg Catch,CHARACTER_IN,Enemy
Birdo,Super Mario Bros. & Friends: When I Grow Up,CHARACTER_IN,Non-playable character
Birdo,Super Mario All-Stars,CHARACTER_IN,Boss
Birdo,Wario's Woods,CHARACTER_IN,Non-playable character
Birdo,Super Mario All-Stars + Super Mario World,CHARACTER_IN,Boss
Birdo,Super Mario RPG: Legend of the Seven Stars,CHARACTER_IN,Boss
Birdo,Mario Tennis,CHARACTER_IN,Playable character
Birdo,Mario Tennis,CHARACTER_IN,N64 icon (after using N64 link)
Birdo,Super Smash Bros. Melee,CHARACTER_IN,"Trophy, stage enemy"
Birdo,Super Mario Advance,CHARACTER_IN,Boss
Birdo,Mario Golf: Toadstool Tour,CHARACTER_IN,Playable character
Birdo,Mario Kart: Double Dash!!,CHARACTER_IN,Playable character
Birdo,Mario & Luigi: Superstar Saga,CHARACTER_IN,Ally/boss
Birdo,Mario Golf: Advance Tour,CHARACTER_IN,"Mentioned, GCN icon (after using GCN link)"
Birdo,Mario Superstar Baseball,CHARACTER_IN,Playable character
Birdo,Yakuman DS,CHARACTER_IN,Non-playable character
Birdo,Mario Kart DS,CHARACTER_IN,Cameo on banner
Birdo,Mario Party 7,CHARACTER_IN,Unlockable playable character
Birdo,Mario Hoops 3-on-3,CHARACTER_IN,Unlockable playable character
Birdo,Mario Party 8,CHARACTER_IN,Playable character
Birdo,Itadaki Street DS,CHARACTER_IN,Playable character
Birdo,Mario Kart Arcade GP 2,CHARACTER_IN,Non-playable character
Birdo,Mario Party Fushigi no Korokoro Catcher,CHARACTER_IN,Playable character
Birdo,Super Smash Bros. Brawl,CHARACTER_IN,"Trophy, sticker"
Birdo,Captain Rainbow,CHARACTER_IN,Non-playable character
Birdo,Mario Kart Wii,CHARACTER_IN,Unlockable playable character
Birdo,Mario Super Sluggers,CHARACTER_IN,Playable character
Birdo,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,VIP member
Birdo,Super Mario All-Stars Limited Edition,CHARACTER_IN,Boss
Birdo,Mario Sports Mix,CHARACTER_IN,Background character
Birdo,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Rival
Birdo,Fortune Street,CHARACTER_IN,Playable character
Birdo,Mario Party 9,CHARACTER_IN,Playable character
Birdo,Mario Tennis Open,CHARACTER_IN,Cameo as a Mii costume
Birdo,Paper Mario: Sticker Star,CHARACTER_IN,Non-playable character
Birdo,Mario & Sonic at the Sochi 2014 Olympic Winter Games,CHARACTER_IN,Rival
Birdo,Mario Party: Island Tour,CHARACTER_IN,Non-playable character
Birdo,NES Remix 2,CHARACTER_IN,Boss
Birdo,Mario Golf: World Tour,CHARACTER_IN,Unlockable playable character
Birdo,Mario Kart 8,CHARACTER_IN,Cameo on banners
Birdo,Super Smash Bros. for Wii U,CHARACTER_IN,Trophy
Birdo,Ultimate NES Remix,CHARACTER_IN,Boss
Birdo,Super Mario Maker,CHARACTER_IN,Playable character ( Costume Mario )
Birdo,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Playable character
Birdo,Mario Party Challenge World,CHARACTER_IN,Playable character
Birdo,Minecraft: Wii U Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Birdo,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Non-playable character
Birdo,Paper Mario: Color Splash,CHARACTER_IN,Non-playable character
Birdo,Mario Sports Superstars,CHARACTER_IN,Playable character
Birdo,Mario Kart 8 Deluxe,CHARACTER_IN,"Cameo on banners, downloadable playable character"
Birdo,Minecraft: Nintendo Switch Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Birdo,Mario & Luigi: Superstar Saga + Bowser's Minions,CHARACTER_IN,Boss
Birdo,Mario Party: The Top 100,CHARACTER_IN,Cameo
Birdo,Minecraft: New Nintendo 3DS Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Birdo,Minecraft: Bedrock Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Birdo,Mario Tennis Aces (version 2.0.0),CHARACTER_IN,Playable character
Birdo,Super Mario Party,CHARACTER_IN,Non-playable character
Birdo,Super Smash Bros. Ultimate,CHARACTER_IN,"Spirit, stage enemy"
Birdo,Mario Kart Tour,CHARACTER_IN,Unlockable playable character
Birdo,Super Mario Maker 2 (version 3.0.0),CHARACTER_IN,Cameo
Birdo,Paper Mario: The Origami King,CHARACTER_IN,Non-playable character
Birdo,Mario Golf: Super Rush,CHARACTER_IN,Non-playable character
Birdo,Mario Party Superstars,CHARACTER_IN,Playable character
Birdo,Mario Strikers: Battle League (version 1.3.0),CHARACTER_IN,Playable character
Birdo,Super Mario RPG,CHARACTER_IN,Boss
Birdo,Nintendo World Championships: NES Edition,CHARACTER_IN,"Boss, unlockable player icon"
Birdo,Super Mario Party Jamboree,CHARACTER_IN,Playable character
Birdo,Mario & Luigi: Brothership,CHARACTER_IN,Non-playable character
Birdo,Mario Kart World,CHARACTER_IN,Unlockable playable character
Blaze the Cat,Mario & Sonic at the Olympic Games,CHARACTER_IN,Playable character
Blaze the Cat,Mario & Sonic at the Olympic Games,CHARACTER_IN,Playable character
Blaze the Cat,Super Smash Bros. Brawl,CHARACTER_IN,Cameo as a trophy and a sticker
Blaze the Cat,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,Playable character
Blaze the Cat,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Playable character
Blaze the Cat,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Playable character
Blaze the Cat,Mario & Sonic at the Sochi 2014 Olympic Winter Games,CHARACTER_IN,Playable character
Blaze the Cat,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Cameo as a trophy
Blaze the Cat,Super Smash Bros. for Wii U,CHARACTER_IN,Cameo as a trophy
Blaze the Cat,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Playable character
Blaze the Cat,Mario & Sonic at the Rio 2016 Olympic Games Arcade Edition,CHARACTER_IN,Playable character
Blaze the Cat,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Playable character
Blaze the Cat,Super Smash Bros. Ultimate,CHARACTER_IN,Cameo as a spirit
Blaze the Cat,Mario & Sonic at the Olympic Games Tokyo 2020,CHARACTER_IN,Playable character
Boom Boom,Super Mario Bros. 3,CHARACTER_IN,Boss
Boom Boom,Super Mario All-Stars,CHARACTER_IN,Boss
Boom Boom,Super Mario All-Stars + Super Mario World,CHARACTER_IN,Boss
Boom Boom,Super Mario Advance 4: Super Mario Bros. 3,CHARACTER_IN,Boss
Boom Boom,Super Mario All-Stars Limited Edition,CHARACTER_IN,Boss
Boom Boom,Super Mario 3D Land,CHARACTER_IN,Boss
Boom Boom,New Super Mario Bros. U,CHARACTER_IN,Boss
Boom Boom,New Super Luigi U,CHARACTER_IN,Boss
Boom Boom,Super Mario 3D World,CHARACTER_IN,Boss
Boom Boom,Puzzle & Dragons: Super Mario Bros. Edition,CHARACTER_IN,Boss
Boom Boom,Minecraft: Wii U Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Boom Boom,Super Mario Run,CHARACTER_IN,Boss
Boom Boom,Mario Sports Superstars,CHARACTER_IN,Supporting playable character
Boom Boom,Minecraft: Nintendo Switch Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Boom Boom,Minecraft: New Nintendo 3DS Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Boom Boom,Minecraft: Bedrock Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Boom Boom,Mario Tennis Aces,CHARACTER_IN,"Rival, Playable character (version 2.1.0)"
Boom Boom,Super Mario Party,CHARACTER_IN,Cameo
Boom Boom,Super Smash Bros. Ultimate,CHARACTER_IN,Spirit cameo
Boom Boom,New Super Mario Bros. U Deluxe,CHARACTER_IN,Boss
Boom Boom,Super Mario Maker 2,CHARACTER_IN,Spawnable Enemy
Boom Boom,Dr. Mario World,CHARACTER_IN,Assistant
Boom Boom,Super Mario 3D World + Bowser's Fury,CHARACTER_IN,Boss
Boom Boom,Mario Strikers: Battle League,CHARACTER_IN,Goalie
Boom Boom,Super Mario Party Jamboree,CHARACTER_IN,Host
Bowser's Brother,Super Mario Bros.: The Lost Levels,CHARACTER_IN,"Secondary antagonist, mini-boss"
Bowser's Brother,Super Mario All-Stars,CHARACTER_IN,Mini-boss in Super Mario Bros.: The Lost Levels remake
Bowser's Brother,Super Mario All-Stars + Super Mario World,CHARACTER_IN,Mini-boss in Super Mario Bros.: The Lost Levels remake
Bowser's Brother,Super Mario Bros. Deluxe,CHARACTER_IN,Mini-boss in Super Mario Bros. for Super Players
Bowser's Brother,Super Mario All-Stars Limited Edition,CHARACTER_IN,Mini-boss in Super Mario Bros.: The Lost Levels remake
Bowser's Brother,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Costume
Bowser's Brother,Super Smash Bros. for Wii U,CHARACTER_IN,Costume
Bowser's Brother,Super Smash Bros. Ultimate,CHARACTER_IN,Costume
Bowser's Brother,Game & Watch: Super Mario Bros.,CHARACTER_IN,Mini-boss in Super Mario Bros.: The Lost Levels port
Bowser Jr.,Super Mario Sunshine,CHARACTER_IN,Main antagonist/non-playable character
Bowser Jr.,Mario Golf: Toadstool Tour,CHARACTER_IN,Unlockable playable character
Bowser Jr.,Mario Kart: Double Dash!!,CHARACTER_IN,Playable character
Bowser Jr.,Mario Golf: Advance Tour,CHARACTER_IN,"Mentioned, GCN icon (after using GCN GBA cable)"
Bowser Jr.,Mario Power Tennis,CHARACTER_IN,Playable character
Bowser Jr.,Mario Superstar Baseball,CHARACTER_IN,Playable character
Bowser Jr.,New Super Mario Bros.,CHARACTER_IN,Main antagonist/boss
Bowser Jr.,Mario Hoops 3-on-3,CHARACTER_IN,Playable character
Bowser Jr.,Itadaki Street DS,CHARACTER_IN,Cameo
Bowser Jr.,Mario Strikers Charged,CHARACTER_IN,Unlockable playable character
Bowser Jr.,Super Mario Galaxy,CHARACTER_IN,Secondary antagonist/boss
Bowser Jr.,Mario Party DS,CHARACTER_IN,Minor antagonist/non-playable character
Bowser Jr.,Mario Kart Wii,CHARACTER_IN,Unlockable playable character
Bowser Jr.,Super Smash Bros. Brawl,CHARACTER_IN,Cameo as a trophy and a sticker .
Bowser Jr.,Mario Super Sluggers,CHARACTER_IN,Major antagonist/playable character
Bowser Jr.,New Play Control! Mario Power Tennis,CHARACTER_IN,Playable character
Bowser Jr.,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,Rival/playable character
Bowser Jr.,New Super Mario Bros. Wii,CHARACTER_IN,Secondary antagonist/boss
Bowser Jr.,Super Mario Galaxy 2,CHARACTER_IN,Secondary antagonist/boss
Bowser Jr.,Mario Sports Mix,CHARACTER_IN,Playable character
Bowser Jr.,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Playable character
Bowser Jr.,Fortune Street,CHARACTER_IN,Playable character
Bowser Jr.,Mario Party 9,CHARACTER_IN,Secondary antagonist/Boss
Bowser Jr.,Mario Tennis Open,CHARACTER_IN,Playable character
Bowser Jr.,Paper Mario: Sticker Star,CHARACTER_IN,Boss
Bowser Jr.,New Super Mario Bros. U,CHARACTER_IN,Secondary antagonist/Boss
Bowser Jr.,New Super Luigi U,CHARACTER_IN,Secondary antagonist/Boss
Bowser Jr.,Mario & Luigi: Dream Team,CHARACTER_IN,Secret boss
Bowser Jr.,Mario Kart Arcade GP DX,CHARACTER_IN,Unlockable playable character
Bowser Jr.,Mario & Sonic at the Sochi 2014 Olympic Winter Games,CHARACTER_IN,Playable character
Bowser Jr.,Mario Party: Island Tour,CHARACTER_IN,Unlockable playable character
Bowser Jr.,Mario Golf: World Tour,CHARACTER_IN,Playable character
Bowser Jr.,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Unlockable playable character
Bowser Jr.,Super Smash Bros. for Wii U,CHARACTER_IN,Playable character
Bowser Jr.,Mario Party 10,CHARACTER_IN,Rival
Bowser Jr.,Mario Kart 8,CHARACTER_IN,Cameo
Bowser Jr.,Puzzle & Dragons: Super Mario Bros. Edition,CHARACTER_IN,Boss/Co-Final boss
Bowser Jr.,Super Mario Maker,CHARACTER_IN,Enemy/playable character ( Costume Mario )
Bowser Jr.,Mario Tennis: Ultra Smash,CHARACTER_IN,Unlockable playable character
Bowser Jr.,Mario & Luigi: Paper Jam,CHARACTER_IN,Major antagonist/Boss
Bowser Jr.,Minecraft: Wii U Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Bowser Jr.,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Playable character
Bowser Jr.,Mario Party: Star Rush,CHARACTER_IN,Boss/amiibo playable character in Mario Shuffle mode
Bowser Jr.,Super Mario Maker for Nintendo 3DS,CHARACTER_IN,Enemy
