Title,Year,Console
Dr. Mario World,2021,iOS / Android
Super Mario Fushigi no Korokoro Party 2,2006,Arcade
StreetPass Mii Plaza,2012,Nintendo 3DS
Mario Party Whirling Carnival,2012,Arcade
Miitomo,2016,"iOS, Android"
Mario's Early Years! Fun with Letters,1993,"Super Nintendo Entertainment System, MS-DOS"
Excitebike: Bun Bun Mario Battle Stadium (Ep. 3),1997,Satellaview
Super Mario Fushigi no Korokoro Party,2005,Arcade
Picross NP Vol.8,2000,Super Famicom
Donkey Kong Country (GBC remake),2000,Game Boy Color
Donkey Kong Country (GBA remake),2003,Game Boy Advance
Mario + Rabbids Kingdom Battle ( Donkey Kong Adventure DLC),2018,Nintendo Switch
Super Smash Bros Ultimate,2018,Nintendo Switch
Tetris Attack,1996,SNES
Super Smash Bros. for Nintendo 3DS,2014,"Nintendo 3DS, Wii U"
Mario Kart 8 (as of version 4.0),2015,Wii U
Picross NP Vol. 8,2000,Super Famicom
Green House,1982,Game & Watch
Donkey Kong 3,1983,Arcade
Donkey Kong 3: Dai Gyakushū,1984,NEC PC-88 /Sharp X1/PC-6601
Game & Watch Gallery 2,1997,Game Boy / Game Boy Color
Mario & Luigi: Paper Jam,2016,Nintendo 3DS
Timber's Balloon Pop,2007,Internet browser
Paper Mario: The Thousand-Year Door (Nintendo Switch),2024,Nintendo Switch
Wario's Woods,1994,"Nintendo Entertainment System, Super Nintendo Entertainment System"
Mario Golf (Nintendo 64),1999,Nintendo 64
Mario Tennis (Nintendo 64),2000,Nintendo 64
Mario Tennis (Game Boy Color),2000,Game Boy Color
Mario Party: Island Tour,2014,Nintendo 3DS
Mario & Sonic at the Rio 2016 Olympic Games (Wii U),2016,Wii U
The Legend of Zelda: Link's Awakening,1993,Game Boy
BS Super Mario USA,1996,Super Famicom ( Satellaview )
The Legend of Zelda: Link's Awakening DX,1998,Game Boy Color
The Legend of Zelda: Link's Awakening,2019,Nintendo Switch
Game & Watch: The Legend of Zelda,2021,Game & Watch
Mario Tennis,2000,N/A
Mario Party 3,2000,N/A
Super Smash Bros. Melee,2001,N/A
Mario Party 4,2002,N/A
Game & Watch Gallery 4,2002,N/A
Mario Party-e,2003,N/A
Mario Golf: Toadstool Tour,2003,N/A
Mario Kart: Double Dash!!,2003,N/A
Mario Party 5,2003,N/A
Mario Golf: Advance Tour,2004,N/A
Super Mario Fushigi no Korokoro Party,2004,N/A
Mario Power Tennis,2004,N/A
Mario Party 6,2004,N/A
Yakuman DS,2005,N/A
Dance Dance Revolution: Mario Mix,2005,N/A
Mario Superstar Baseball,2005,N/A
Mario Tennis: Power Tour,2005,N/A
Super Mario Fushigi no Korokoro Party 2,2005,N/A
Mario Kart Arcade GP,2005,N/A
Mario Party 7,2005,N/A
Mario Kart DS,2005,N/A
Super Mario Strikers,2005,N/A
Mario Hoops 3-on-3,2006,N/A
Mario Kart Arcade GP 2,2007,N/A
Mario Strikers Charged,2007,N/A
Mario Party 8,2007,N/A
Itadaki Street DS,2007,N/A
Mario & Sonic at the Olympic Games,2007,N/A
Mario Party DS,2007,N/A
Super Smash Bros. Brawl,2008,N/A
Mario Kart Wii,2008,N/A
Mario Super Sluggers,2008,N/A
New Play Control! Mario Power Tennis,2009,N/A
Mario Party Fushigi no Korokoro Catcher,2009,N/A
Mario & Sonic at the Olympic Winter Games,2009,N/A
Mario Sports Mix,2010,N/A
Mario & Sonic at the London 2012 Olympic Games,2011,N/A
Mario Kart 7,2011,N/A
Fortune Street,2011,N/A
Mario Party 9,2012,N/A
Mario Party Whirling Carnival,2012,N/A
StreetPass Mii Plaza,2012,N/A
Mario Tennis Open,2012,N/A
Mario Kart Arcade GP DX,2013,N/A
Mario & Sonic at the Sochi 2014 Olympic Winter Games,2013,N/A
Mario Party: Island Tour,2013,N/A
Mario Golf: World Tour,2014,N/A
Mario Kart 8,2014,N/A
Super Smash Bros. for Nintendo 3DS,2014,N/A
Super Smash Bros. for Wii U,2014,N/A
Mario Party 10,2015,N/A
Super Mario Maker,2015,N/A
Mario Tennis: Ultra Smash,2015,N/A
Mario & Sonic at the Rio 2016 Olympic Games,2016,N/A
Minecraft: Wii U Edition,2016,N/A
Mario & Sonic at the Rio 2016 Olympic Games Arcade Edition,2016,N/A
Mario Party Fushigi no Challenge World,2016,N/A
Mario Party: Star Rush,2016,N/A
Mario Sports Superstars,2017,N/A
Mario Kart 8 Deluxe,2017,N/A
Minecraft: Nintendo Switch Edition,2017,N/A
Hey! Pikmin,2017,N/A
Mario + Rabbids Kingdom Battle,2017,N/A
Mario Party: The Top 100,2017,N/A
Minecraft: New Nintendo 3DS Edition,2018,N/A
Minecraft: Bedrock Edition,2018,N/A
Mario Tennis Aces,2018,N/A
Super Mario Party,2018,N/A
Super Smash Bros. Ultimate,2018,N/A
Dr. Mario World,2019,N/A
Mario Kart Tour,2019,N/A
Luigi's Mansion 3,2019,N/A
Mario & Sonic at the Olympic Games Tokyo 2020,2019,N/A
Mario & Sonic at the Olympic Games Tokyo 2020 - Arcade Edition,2020,N/A
Mario Golf: Super Rush,2021,N/A
Mario Party Superstars,2021,N/A
Mario Strikers: Battle League,2022,N/A
Super Mario Party Jamboree,2024,N/A
WarioWare: Smooth Moves,2006,N/A
WarioWare: D.I.Y.,2009,N/A
Rhythm Heaven Fever,2011,N/A
Game & Wario,2013,N/A
Rhythm Heaven Megamix,2015,N/A
WarioWare Gold,2018,N/A
WarioWare: Get It Together!,2021,N/A
Tetris 99,2021,N/A
WarioWare: Move It!,2023,N/A
Mario Paint,1992,SNES
Yoshi no Cookie: Kuruppon Oven de Cookie,1994,SNES
Mario's Early Years! Preschool Fun,1994,SNES
Super Mario Attack,1996,Arcade
Mario Paint: BS Ban,1997,Satellaview
BS Mario Paint: Yuushou Naizou Ban,1997,Satellaview
Mario no Photopi,1998,Nintendo 64
Mario Artist: Polygon Studio,2000,Nintendo 64DD
Mario Family,2001,Game Boy Color
Yoshi Topsy-Turvy,2004,Game Boy Advance
Yoshi's Crafted World,2019,Nintendo Switch
Mario + Rabbids Sparks of Hope (mentioned),2022,Nintendo Switch
The Super Mario Bros. Movie (voice only),2023,Film
