Title,Year,Console
Mario & Sonic at the London 2012 Olympic Games,2011,"Wii, Nintendo 3DS"
Mario Kart 8,2015,Wii U
Dr. Mario World,2019,iOS/Android
Mario Kart Tour,2019,iOS/Android
Mario & Sonic at the Olympic Games Tokyo 2020,2019,"Nintendo Switch, Arcade"
Mario Kart Live: Home Circuit,2020,Nintendo Switch
Mario Strikers: Battle League,2022,Nintendo Switch
VS. Pinball,1984,VS. System
WarioWare: D.I.Y. Showcase,2009,Wii ( WiiWare )
Super Mario Run,2017,"iOS, iPadOS, Android"
Taiko no Tatsujin Blue ver.,2018,Arcade
Animal Crossing: Pocket Camp,2018,"iOS, iPadOS, Android"
Ring Fit Adventure,2019,Nintendo Switch
Animal Crossing: Pocket Camp Complete,2024,"iOS, iPadOS, Android"
Wario Land: Super Mario Land 3,1994,Game Boy
Wario Land II,1998,Game Boy
Picross NP,2000,SNES
Wario Land: Shake It!,2008,Wii
Animal Crossing: New Horizons,2020,Nintendo Switch
Captain Toad: Treasure Tracker,2014,Wii U
Super Mario Maker,2016,Wii U
Captain Toad: Treasure Tracker,2018,Nintendo Switch / Nintendo 3DS
Donkey Kong Country,1994,Super Nintendo Entertainment System
Donkey Kong Country 2: Diddy's Kong Quest,1995,Super Nintendo Entertainment System
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,Super Nintendo Entertainment System
Picross NP Vol. 8,2000,Super Nintendo
Donkey Kong Country,2000,Game Boy Color
Donkey Kong Country,2003,Game Boy Advance
Donkey Konga,2003,Nintendo GameCube
Donkey Konga 2,2004,Nintendo GameCube
Donkey Kong Country 2,2004,Game Boy Advance
Donkey Konga 3 JP,2005,Nintendo GameCube
Donkey Kong Country 3,2005,Game Boy Advance
Donkey Kong Country Returns,2010,Wii
Donkey Kong Country Returns 3D,2013,Nintendo 3DS
Donkey Kong Country: Tropical Freeze,2014,Wii U
Super Smash Bros. for Nintendo 3DS / Wii U,2014,"Nintendo 3DS, Wii U"
Donkey Kong Country: Tropical Freeze,2018,Nintendo Switch
Donkey Kong Country Returns HD,2025,Nintendo Switch
