Boss,Game,Relation
Big Cheep Cheep,Mario Kart: Super Circuit,BOSS_IN
Big Cheep Cheep,Mario Party 8,BOSS_IN
Big Cheep Cheep,New Super Mario Bros. 2,BOSS_IN
Big Cheep Cheep,Mario Kart: Double Dash!!,BOSS_IN
Big Cheep Cheep,Mario Party DS,BOSS_IN
Big Cheep Cheep,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN
Big Cheep Cheep,Mario Kart Wii,BOSS_IN
Big Cheep Cheep,Mario Party 10,BOSS_IN
Big Cheep Cheep,Super Mario Maker series,BOSS_IN
Big Cheep Cheep,Mario Kart Tour,BOSS_IN
Big Cheep Cheep,Super Mario Party,BOSS_IN
Big Cheep Cheep,Mario Party Superstars,BOSS_IN
Mega Goomba,Super Mario Bros. 3,BOSS_IN
Mega Goomba,Mario Party 10,BOSS_IN
Mega Goomba,Super Mario 64 / Super Mario 64 DS,BOSS_IN
Mega Goomba,Mario Party: Star Rush,BOSS_IN
Mega Goomba,New Super Mario Bros.,BOSS_IN
Mega Goomba,Super Mario Galaxy,BOSS_IN
Mega Goomba,New Super Mario Bros. Wii,BOSS_IN
Mega Goomba,Super Mario Galaxy 2,BOSS_IN
Mega Goomba,Super Mario 3D Land,BOSS_IN
Mega Goomba,New Super Mario Bros. U,BOSS_IN
Mega Goomba,Super Mario Maker / Super Mario Maker for Nintendo 3DS / Super Mario Maker 2,BOSS_IN
Mega Goomba,Super Mario Bros. Wonder,BOSS_IN
Big Monty Mole,Super Mario Maker / Super Mario Maker for Nintendo 3DS,BOSS_IN
Big Monty Mole,Mario Party 10,BOSS_IN
Big Monty Mole,Super Mario Maker 2,BOSS_IN
Big Monty Mole,Mario Party: Star Rush,BOSS_IN
Big Spiny,Super Mario Maker / Super Mario Maker for Nintendo 3DS / Super Mario Maker 2,BOSS_IN
Big Spiny,Super Mario Run,BOSS_IN
Birdo,Yume Kōjō: Doki Doki Panic / Super Mario Bros. 2 / Super Mario Advance ,BOSS_IN
Birdo,Mario Kart: Double Dash!!,BOSS_IN
Birdo,Mario Party 7,BOSS_IN
Birdo,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN
Birdo,BS Super Mario USA,BOSS_IN
Birdo,Mario Kart Arcade GP 2,BOSS_IN
Birdo,Mario Party 8,BOSS_IN
Birdo,Mario & Luigi: Brothership,BOSS_IN
Birdo,Super Mario Maker,BOSS_IN
Birdo,Mario Kart Wii,BOSS_IN
Birdo,Mario Party Fushigi no Korokoro Catcher / Mario Party Challenge World,BOSS_IN
Birdo,Super Mario Maker 2,BOSS_IN
Birdo,Mario Kart 7,BOSS_IN
Birdo,Mario Party 9,BOSS_IN
Birdo,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN
Birdo,Mario Party: Island Tour,BOSS_IN
Birdo,Mario Kart Tour,BOSS_IN
Birdo,Super Mario Party,BOSS_IN
Birdo,Mario Kart World,BOSS_IN
Birdo,Mario Party Superstars,BOSS_IN
Birdo,Super Mario Party Jamboree,BOSS_IN
Blooper,Super Mario Bros. / Super Mario Bros.: The Lost Levels,BOSS_IN
Blooper,Mario Kart DS,BOSS_IN
Blooper,Mario Party,BOSS_IN
Blooper,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN
Blooper,Super Mario Bros. 3 / Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN
Blooper,Mario Kart Wii,BOSS_IN
Blooper,Mario Party 2,BOSS_IN
Blooper,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN
Blooper,Super Mario Sunshine,BOSS_IN
Blooper,Mario Kart 7,BOSS_IN
Blooper,Mario Party 3,BOSS_IN
Blooper,Mario & Luigi: Dream Team,BOSS_IN
Blooper,New Super Mario Bros.,BOSS_IN
Blooper,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN
Blooper,Mario Party 4,BOSS_IN
Blooper,Mario & Luigi: Paper Jam,BOSS_IN
Blooper,Super Mario Galaxy,BOSS_IN
Blooper,Mario Kart Tour,BOSS_IN
Blooper,Mario Party 6,BOSS_IN
Blooper,Mario & Luigi: Brothership,BOSS_IN
Blooper,New Super Mario Bros. Wii,BOSS_IN
Blooper,Mario Kart World,BOSS_IN
Blooper,Mario Party Advance,BOSS_IN
Blooper,Super Mario Galaxy 2,BOSS_IN
